Word,Explanation
Extract,To get or remove something
Famine,A time when there is an extreme lack of food
Feasible,Possible to do
Finite,Having an end or limits
Flaw,A feature that ruins the perfection of something
Fluctuate,To change continually
Focus,The central point or idea
Fortify,To strengthen
Framework,A skeletal structure designed to support something
Frivolous,Unnecessary; of little importanc
Function,A purpose natural to a person or thing
Fundamental,Of primary importance
Gap,A space in between to objects
Garbled,Communication that is distorted and unclear
Generate,To produce
Grandiose,Pompous; overly important
Hackneyed,Overused and unoriginal
Haphazard,Lacking planning
Harsh,Not gentle; unpleasant
Hasty,In a hurry
Hazardous,Full of risk
Hesitate,"To pause, often due to reluctance"
Hierarchy,A ranking system
Hindrance,Something that causes delay or resistance
Hollow,Empty inside
Horror,An intense feeling of fear
Hostile,Extremely unfriendly
Hypothesis,An unproven idea that attempts to explain something
Identical,Exactly the same
Illiterate,Unable to read
Illustrate,To explain by using an example
Impact,Effect or influence
Impair,To worsen
Implement,To carry out
Imply,To strongly suggest
Impose,To force upon
Impoverish,To reduce to poverty
Incentive,A reason to do something
Incessant,Continuing without pause
Incidental,A minor part
Incite,To urge on
Inclination,A preference
Incompetent,Incapable; lacking ability
Inconsistent,Changing randomly
Indefatigable,Untiring
Indisputable,Not able to be challenged
Ineffective,Not producing any major impact
Inevitable,Unable to be avoided
Infer,To guess based on evidence
Inflate,To increase in size
Influence,The ability to have an impact of something
Inhibit,To hinder or restrain
Initial,The first
Inquiry,An investigation to determine the truth
Integral,Necessary to complete the whole
Integrate,To combine
Interpret,To explain the meaning of something
Intervene,"To come between people, objects, or an event and change what is happening"
Intrepid,Fearless
Intricate,Highly detailed
Invasive,Intrusive
Investigate,To examine or study
Irascible,Easy to anger
Irony,The use of words to give a meaning opposite to their literal meaning
Irresolute,Uncertain
Jargon,Words specific to a certain job or group
Jointly,Together
Knack,A special talent or skill
Labor,Work or effort
Lag,To fall behind
Lampoon,To mock or ridicule
Languish,To become weak; to be neglected
Lecture,A talk given to an audience
Leery,Wary
Legitimate,Lawful
Lenient,Merciful; less harsh
Likely,Probable
Ludicrous,Ridiculous
Maintain,To continue at the same level
Major,Very important
Manipulate,"To influence, especially in an unfair way"
Maximize,To increase to the greatest possible size
Measure,To find the size and dimensions of something
Mediocre,"Ordinary, average"
Mend,To fix
Method,A way of doing something
Migrate,To move from one place to another
Minimum,The smallest or lowest amount possible
Misleading,Giving the wrong idea
Modify,To change
Morose,"Gloomy, depressed"
Negligent,"Lazy, neglectful"
Nonchalant,"Indifferent, unexcited"
Obey,To follow orders or instructions
Obtain,To get
Obvious,Easily understood
Opponent,Someone on the opposite side for a game or contest
Oppress,To unfairly burden
Origin,The source; where something began
Paradigm,A typical example of something
Parsimonious,"Frugal, stingy"
Partake,To join in
Partial,Preferring one option over others
Paucity,Something existing in very small amounts; scarcity
Peak,The highest or most important point
Peripheral,Located on the side or edge
Permeate,To penetrate or pass through
Persist,"To continue, especially when facing opposition"
Pertain,Relate
Phase,A period or stage in a process
Poll,A record of opinions or votes
Potent,Powerful
Pragmatic,"Practical, sensible"
Praise,To give approval or admiration
Precede,To come before
Precise,Exact
Prestigious,Having a high reputation
Prevalent,Widespread
Primary,First; most important
Prior,Previous or earlier
Proceed,To continue doing something
Progeny,Offspring
Promote,To further to progress of something
Prosper,To do well
Proximity,Nearness in time or space
Quarrel,Disagreement or fight; to have an argument
Range,"The distance between two things, often the maximum and the minimum"
Rank,An official position or station
Rebuke,To sternly disapprove or reprimand
Recapitulate,To give a brief summary
Recede,To retreat
Recommend,To present someone with confidence and approval
Reform,To make changes that improve something
Regulate,To supervise or control a process so that it functions correctly
Reinforce,To strengthen with added support
Reject,To say no to something that is offered
Release,To free; to allow to be known
Rely,To depend on
Reproach,To express disapproval or disappointment
Require,To need for a specific purpose
Resent,To feel bitterness or anger towards someone or something
Resign,To give up an office or position
Resist,To withstand the effect of
Resolve,To come to a firm decision
Restrict,To confine or keep within limits
Retain,To continue to do something or keep something
Retract,1. To draw back in
Retrieve,To bring back
Rhetorical,Used just for style or impact
Rigid,Stiff; unyielding
Rotate,To turn
Safeguard,Something that serves as protection or ensures safety
Scrutinize,To very carefully examine
Section,A part of the whole
Select,To choose
Sequence,Things that follow each other in a certain order
Severe,1. Harsh or strict
Shallow,Not deep
Shelter,To protect from something harmful
Shrink,To become smaller
Significant,"Important, noteworthy"
Source,"A person, place, or thing where something was obtained"
Sparse,Thinly scattered
Specify,To clearly indicate which one
Speculate,To form a theory without strong evidence
Solitary,Alone; without others
Somber,Gloomy; depressing
Soothe,To calm or comfort
Squalid,Filthy and unpleasant
Stable,Unlikely to change or fail
Stagnant,"Sluggish, showing little movement"
Strategy,A plan to reach a desired outcome
Subsequent,Coming after something in time
Substitute,A person or thing acting in place of another
Subtle,Difficult to notice right away
Sufficient,Enough to serve a particular purpose
Summarize,To briefly give the main points
Supervise,To oversee work or a process
Supplant,To take the place of something else
Suspend,1. To temporarily stop
Suspicious,Having the belief that someone is doing something dishonest or illegal
Sustain,To keep going
Symbolic,Serving as a symbol
Technical,Relating to a specific subject or craft
Terminal,Situated at the end
Tolerate,To put up with
Transfer,To move from one place to another
Transition,Changing from one state or condition to another
Transparent,1. See-through material
Tuition,The fee for instruction at a school
Unobtrusive,Not attracting attention
Unscathed,Unharmed
Upbeat,Happy; optimistic
Unjust,Unfair
Vacillate,To waver or be indecisive
Valid,Just; well-founded
Vanish,To disappear quickly
Vary,To be different from something else in a group
Verdict,A judgement or decision
Vestige,A small trace of something that is disappearing or has already disappeared
Vial,A small container used to hold liquids
Vilify,To speak poorly of; to slander
Voluminous,Taking up a lot of space
Whereas,On the contrary
Wholly,Completely
Widespread,Occurring over a large region
Wilt,To droop and become limp
